date,state,fips,cases
3/14/20,Florida,12,70
3/14/20,Georgia,13,65
3/14/20,Hawaii,15,4
3/14/20,Idaho,16,5
3/14/20,Illinois,17,66
3/14/20,Indiana,18,15
3/14/20,Iowa,19,18
3/14/20,Kansas,20,8
3/14/20,Kentucky,21,18
3/14/20,Louisiana,22,77
3/14/20,Maine,23,3
3/14/20,Maryland,24,27
3/14/20,Massachusetts,25,138
3/14/20,Michigan,26,33
3/14/20,Minnesota,27,21
3/14/20,Mississippi,28,6
3/14/20,Missouri,29,5
3/14/20,Montana,30,6
3/14/20,Nebraska,31,29
3/14/20,Nevada,32,21
3/14/20,New Hampshire,33,7
3/14/20,New Jersey,34,75
3/14/20,New Mexico,35,13
3/14/20,New York,36,610
3/14/20,North Carolina,37,25
3/14/20,North Dakota,38,1
3/14/20,Ohio,39,26
3/14/20,Oklahoma,40,4
3/14/20,Oregon,41,36
3/14/20,Pennsylvania,42,47
3/14/20,Puerto Rico,72,4
3/14/20,Rhode Island,44,20
3/14/20,South Carolina,45,19
3/14/20,South Dakota,46,9
3/14/20,Tennessee,47,32
3/14/20,Texas,48,69
3/14/20,Utah,49,21
3/14/20,Vermont,50,5
3/14/20,Virgin Islands,78,1
3/14/20,Virginia,51,42
3/14/20,Washington,53,609
3/14/20,Wisconsin,55,27
3/14/20,Wyoming,56,3
3/15/20,Alabama,1,23
3/15/20,Alaska,2,1
3/15/20,Arizona,4,13
3/15/20,Arkansas,5,16
3/15/20,California,6,478
3/15/20,Colorado,8,136
3/15/20,Connecticut,9,26
3/15/20,Delaware,10,7
3/15/20,District of Columbia,11,17
3/15/20,Florida,12,109
3/15/20,Georgia,13,97
3/15/20,Guam,66,3
3/15/20,Hawaii,15,7
3/15/20,Idaho,16,5
3/15/20,Illinois,17,94
3/15/20,Indiana,18,19
3/15/20,Iowa,19,22
3/15/20,Kansas,20,9
3/15/20,Kentucky,21,21
3/15/20,Louisiana,22,103
3/15/20,Maine,23,12
3/15/20,Maryland,24,32
3/15/20,Massachusetts,25,164
3/15/20,Michigan,26,53
3/15/20,Minnesota,27,35
3/15/20,Mississippi,28,10
3/15/20,Missouri,29,5
3/15/20,Montana,30,6
3/15/20,Nebraska,31,31
3/15/20,Nevada,32,26
3/15/20,New Hampshire,33,13
3/15/20,New Jersey,34,98
3/15/20,New Mexico,35,17
3/15/20,New York,36,732
3/15/20,North Carolina,37,32
3/15/20,North Dakota,38,1
3/15/20,Ohio,39,37
3/15/20,Oklahoma,40,8
3/15/20,Oregon,41,39
3/15/20,Pennsylvania,42,68
3/15/20,Puerto Rico,72,5
3/15/20,Rhode Island,44,20
3/15/20,South Carolina,45,28
3/15/20,South Dakota,46,9
3/15/20,Tennessee,47,39
3/15/20,Texas,48,80
3/15/20,Utah,49,29
3/15/20,Vermont,50,8
3/15/20,Virgin Islands,78,1
3/15/20,Virginia,51,45
3/15/20,Washington,53,675
3/15/20,Wisconsin,55,33
3/15/20,Wyoming,56,3
3/16/20,Alabama,1,29
3/16/20,Alaska,2,3
3/16/20,Arizona,4,18
3/16/20,Arkansas,5,22
3/16/20,California,6,588
3/16/20,Colorado,8,161
3/16/20,Connecticut,9,41
3/16/20,Delaware,10,8
3/16/20,District of Columbia,11,22
